job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_range_time,pp_crab_range_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
tango_tcache_bounds_init_delete,n/a,n/a,n/a,59,738,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.02,0.07,n/a,n/a,n/a,n/a,0.04,0.08
tango_tcache_bounds_query,n/a,n/a,n/a,127,1216,n/a,12,n/a,1,0.05,0.03,0.01,0.03,0.20,n/a,n/a,n/a,n/a,0.09,0.22
tango_tcache_bounds_insert,n/a,n/a,n/a,1583,10850,n/a,169,n/a,8,3.95,1.27,0.01,0.18,6.65,n/a,n/a,n/a,n/a,0.80,6.82
tango_dcache_bounds_init_delete,n/a,n/a,n/a,42,173,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.02,0.03,n/a,n/a,n/a,n/a,0.01,0.05
tango_dcache_bounds_compact,n/a,n/a,n/a,60,294,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.02,0.02,n/a,n/a,n/a,n/a,0.01,0.03
tango_mcache_bounds_init_delete,n/a,n/a,n/a,126,556,2,21,n/a,3,0.34,0.33,0.02,0.12,0.73,n/a,n/a,n/a,n/a,0.04,0.76
tango_mcache_bounds_publish,n/a,n/a,n/a,131,628,2,31,n/a,13,0.61,0.43,0.04,0.11,1.14,n/a,n/a,n/a,n/a,0.08,1.16
tango_mcache_bounds_query,n/a,n/a,n/a,134,629,2,26,n/a,8,0.59,0.41,0.02,0.08,1.08,n/a,n/a,n/a,n/a,0.06,1.10
tango_fseq_bounds_init_delete,n/a,n/a,n/a,18,91,n/a,1,n/a,1,0.01,0.01,0.01,0.02,0.02,n/a,n/a,n/a,n/a,0.01,0.02
tango_fseq_bounds_query,n/a,n/a,n/a,19,98,n/a,2,n/a,2,0.01,0.01,0.01,0.02,0.03,n/a,n/a,n/a,n/a,0.01,0.04
tango_fctl_bounds_init_delete,n/a,n/a,n/a,17,78,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.01,0.04,n/a,n/a,n/a,n/a,0.01,0.05
tango_fctl_bounds_cfg_rx_add_done,n/a,n/a,n/a,392,1744,18,34,5,n/a,0.55,0.14,0.07,1.10,0.79,n/a,n/a,n/a,n/a,0.07,0.84
waltz_quic_decode_initial,n/a,n/a,n/a,423,1967,n/a,53,9,6,0.24,0.05,0.01,0.07,0.71,n/a,n/a,n/a,n/a,0.36,0.75
waltz_quic_decrypt,n/a,n/a,n/a,76,372,n/a,11,3,3,0.02,0.01,0.01,0.04,0.04,n/a,n/a,n/a,n/a,0.01,0.05
waltz_quic_tls_client_hs,n/a,n/a,n/a,40,197,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.05,0.03,n/a,n/a,n/a,n/a,0.01,0.05
waltz_quic_tls_server_hs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
util_fd_hash,n/a,n/a,n/a,541,2080,26,104,14,n/a,0.10,0.02,0.01,0.16,0.19,n/a,n/a,n/a,n/a,0.03,0.22
util_fd_fibre,n/a,n/a,n/a,61,311,9,n/a,9,1,0.02,0.01,0.02,0.04,0.04,n/a,n/a,n/a,n/a,0.01,0.06
util_fd_fibre_schedule,n/a,n/a,n/a,56,257,7,n/a,7,n/a,0.02,0.01,0.01,0.03,0.04,n/a,n/a,n/a,n/a,0.01,0.05
util_fd_cstr_to_ulong_seq,n/a,n/a,n/a,15,77,1,n/a,1,26,0.01,0.01,0.02,1.81,0.02,n/a,n/a,n/a,n/a,0.01,0.03
util_fd_bits_svw,n/a,n/a,n/a,123,532,5,7,9,3,0.02,0.01,0.01,0.03,0.05,n/a,n/a,n/a,n/a,0.01,0.06
util_fd_pod_init_delete,n/a,n/a,n/a,59,292,n/a,12,n/a,12,0.01,0.01,0.01,0.04,0.04,n/a,n/a,n/a,n/a,0.02,0.05
util_fd_pod_iter,n/a,n/a,n/a,9099,117249,831,27,26,12,24.14,4.69,0.04,0.65,487.31,n/a,n/a,n/a,n/a,217.28,491.30
util_fd_pod_accessors,n/a,n/a,n/a,59,292,n/a,12,n/a,12,0.01,0.01,0.01,0.04,0.05,n/a,n/a,n/a,n/a,0.03,0.07
util_fd_pod_resize,n/a,n/a,n/a,63,313,n/a,12,n/a,12,0.01,0.01,0.01,0.06,0.04,n/a,n/a,n/a,n/a,0.03,0.06
util_fd_pod_query,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ballet_txn_parse,n/a,n/a,n/a,769,4090,16,106,98,28,1.51,0.66,1.33,19.40,2.57,n/a,n/a,n/a,n/a,0.32,2.63
ballet_txn_parse_minsz,n/a,n/a,n/a,742,3601,n/a,119,94,29,0.03,0.01,0.19,3.46,0.32,n/a,n/a,n/a,n/a,0.22,0.35
ballet_chacha20_block,n/a,n/a,n/a,14,158,n/a,2,n/a,6,0.05,0.05,0.04,3.36,14.07,n/a,n/a,n/a,n/a,13.96,14.15
ballet_chacha20rng_init_delete,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
