job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_range_time,pp_crab_range_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
tango_tcache_bounds_init_delete,n/a,n/a,n/a,59,738,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.02,0.07,n/a,n/a,n/a,n/a,0.05,0.10
tango_tcache_bounds_query,n/a,n/a,n/a,172,1379,12,n/a,1,n/a,0.04,0.01,0.01,0.04,0.17,n/a,n/a,n/a,n/a,0.09,0.19
tango_tcache_bounds_insert,n/a,n/a,n/a,2134,12679,157,2,6,2,1.43,0.30,0.01,0.15,3.17,n/a,n/a,n/a,n/a,0.80,3.33
tango_dcache_bounds_init_delete,n/a,n/a,n/a,42,173,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.02,0.02,n/a,n/a,n/a,n/a,0.01,0.03
tango_dcache_bounds_compact,n/a,n/a,n/a,60,294,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.02,0.04,n/a,n/a,n/a,n/a,0.01,0.06
tango_mcache_bounds_init_delete,n/a,n/a,n/a,209,878,20,3,2,1,0.09,0.04,0.01,0.05,0.18,n/a,n/a,n/a,n/a,0.03,0.20
tango_mcache_bounds_publish,n/a,n/a,n/a,245,1057,28,5,10,3,0.12,0.05,0.02,0.08,0.24,n/a,n/a,n/a,n/a,0.05,0.28
tango_mcache_bounds_query,n/a,n/a,n/a,221,965,21,7,3,5,0.11,0.05,0.01,0.05,0.21,n/a,n/a,n/a,n/a,0.04,0.23
tango_fseq_bounds_init_delete,n/a,n/a,n/a,18,91,n/a,1,n/a,1,0.00,0.01,0.01,0.02,0.02,n/a,n/a,n/a,n/a,0.01,0.03
tango_fseq_bounds_query,n/a,n/a,n/a,19,98,n/a,2,n/a,2,0.01,0.01,0.01,0.01,0.03,n/a,n/a,n/a,n/a,0.01,0.04
tango_fctl_bounds_init_delete,n/a,n/a,n/a,17,78,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.02,0.02,n/a,n/a,n/a,n/a,0.01,0.03
tango_fctl_bounds_cfg_rx_add_done,n/a,n/a,n/a,419,1827,45,7,5,n/a,0.34,0.07,0.02,0.20,0.57,n/a,n/a,n/a,n/a,0.11,0.61
waltz_quic_decode_initial,n/a,n/a,n/a,423,1967,n/a,53,9,6,0.16,0.04,0.01,0.06,0.57,n/a,n/a,n/a,n/a,0.34,0.61
waltz_quic_decrypt,n/a,n/a,n/a,76,372,n/a,11,3,3,0.02,0.01,0.01,0.03,0.05,n/a,n/a,n/a,n/a,0.01,0.07
waltz_quic_tls_client_hs,n/a,n/a,n/a,40,197,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.03,0.03,n/a,n/a,n/a,n/a,0.01,0.04
waltz_quic_tls_server_hs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
util_fd_hash,n/a,n/a,n/a,541,2080,26,104,14,n/a,0.05,0.02,0.01,0.07,0.11,n/a,n/a,n/a,n/a,0.02,0.15
util_fd_fibre,n/a,n/a,n/a,61,311,9,n/a,9,1,0.02,0.01,0.01,0.03,0.04,n/a,n/a,n/a,n/a,0.01,0.06
util_fd_fibre_schedule,n/a,n/a,n/a,56,257,7,n/a,7,n/a,0.01,0.01,0.01,0.02,0.03,n/a,n/a,n/a,n/a,0.01,0.04
util_fd_cstr_to_ulong_seq,n/a,n/a,n/a,15,77,1,n/a,1,26,0.01,0.01,0.01,2.26,0.01,n/a,n/a,n/a,n/a,0.01,0.02
util_fd_bits_svw,n/a,n/a,n/a,123,532,5,7,9,3,0.01,0.01,0.01,0.04,0.03,n/a,n/a,n/a,n/a,0.01,0.04
util_fd_pod_init_delete,n/a,n/a,n/a,59,292,n/a,12,n/a,12,0.01,0.01,0.01,0.02,0.04,n/a,n/a,n/a,n/a,0.03,0.06
util_fd_pod_iter,n/a,n/a,n/a,9099,117249,831,27,26,12,21.70,3.41,0.02,0.33,504.01,n/a,n/a,n/a,n/a,229.78,507.98
util_fd_pod_accessors,n/a,n/a,n/a,59,292,n/a,12,n/a,12,0.01,0.01,0.01,0.06,0.05,n/a,n/a,n/a,n/a,0.03,0.06
util_fd_pod_resize,n/a,n/a,n/a,63,313,n/a,12,n/a,12,0.01,0.01,0.01,0.03,0.04,n/a,n/a,n/a,n/a,0.02,0.04
util_fd_pod_query,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ballet_txn_parse,n/a,n/a,n/a,769,4090,16,106,98,28,0.18,0.09,0.25,3.47,0.62,n/a,n/a,n/a,n/a,0.27,0.66
ballet_txn_parse_minsz,n/a,n/a,n/a,742,3601,n/a,119,94,29,0.02,0.01,0.14,2.03,0.39,n/a,n/a,n/a,n/a,0.29,0.43
ballet_chacha20_block,n/a,n/a,n/a,14,158,n/a,2,n/a,6,0.04,0.03,0.03,2.35,14.18,n/a,n/a,n/a,n/a,14.09,14.27
ballet_chacha20rng_init_delete,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
