job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_range_time,pp_crab_range_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
tango_tcache_bounds_init_delete,n/a,n/a,n/a,59,738,n/a,n/a,n/a,n/a,0.07,0.02,n/a,0.20,0.25,n/a,n/a,n/a,n/a,0.11,0.29
tango_tcache_bounds_query,n/a,n/a,n/a,127,1216,n/a,12,n/a,1,2.81,1.87,0.01,0.20,4.83,n/a,n/a,n/a,n/a,0.11,4.86
tango_tcache_bounds_insert,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tango_dcache_bounds_init_delete,n/a,n/a,n/a,42,173,n/a,n/a,n/a,n/a,0.03,0.02,n/a,0.09,0.05,n/a,n/a,n/a,n/a,0.01,0.06
tango_dcache_bounds_compact,n/a,n/a,n/a,60,294,n/a,n/a,n/a,n/a,0.07,0.05,n/a,0.18,0.16,n/a,n/a,n/a,n/a,0.02,0.17
tango_mcache_bounds_init_delete,n/a,n/a,n/a,124,546,n/a,23,n/a,3,27.17,27.23,0.05,0.39,54.45,n/a,n/a,n/a,n/a,0.03,54.46
tango_mcache_bounds_publish,n/a,n/a,n/a,129,618,n/a,33,n/a,13,29.84,30.36,0.45,0.92,60.28,n/a,n/a,n/a,n/a,0.06,60.31
tango_mcache_bounds_query,n/a,n/a,n/a,132,619,n/a,28,n/a,8,27.83,27.57,0.20,0.48,55.46,n/a,n/a,n/a,n/a,0.04,55.50
tango_fseq_bounds_init_delete,n/a,n/a,n/a,18,91,n/a,1,n/a,1,0.02,0.02,0.01,0.06,0.04,n/a,n/a,n/a,n/a,0.01,0.06
tango_fseq_bounds_query,n/a,n/a,n/a,19,98,n/a,2,n/a,2,0.03,0.03,0.03,0.09,0.07,n/a,n/a,n/a,n/a,0.01,0.08
tango_fctl_bounds_init_delete,n/a,n/a,n/a,17,78,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.06,0.03,n/a,n/a,n/a,n/a,0.01,0.04
tango_fctl_bounds_cfg_rx_add_done,n/a,n/a,n/a,228,1231,n/a,55,n/a,5,1.04,0.93,0.11,1.75,2.07,n/a,n/a,n/a,n/a,0.07,2.10
waltz_quic_decode_initial,n/a,n/a,n/a,425,1974,2,51,9,6,0.87,0.34,0.09,0.36,1.50,n/a,n/a,n/a,n/a,0.26,1.55
waltz_quic_decrypt,n/a,n/a,n/a,76,372,n/a,11,3,3,0.06,0.04,0.03,0.18,0.12,n/a,n/a,n/a,n/a,0.01,0.14
waltz_quic_tls_client_hs,n/a,n/a,n/a,40,197,n/a,n/a,n/a,n/a,0.05,0.02,n/a,0.60,0.07,n/a,n/a,n/a,n/a,0.01,0.08
waltz_quic_tls_server_hs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
util_fd_hash,n/a,n/a,n/a,515,2024,n/a,130,14,n/a,0.07,0.04,0.02,0.21,0.13,n/a,n/a,n/a,n/a,0.02,0.14
util_fd_fibre,n/a,n/a,n/a,61,311,9,n/a,9,1,0.07,0.04,0.07,0.16,0.12,n/a,n/a,n/a,n/a,0.01,0.14
util_fd_fibre_schedule,n/a,n/a,n/a,56,257,7,n/a,7,n/a,0.19,0.16,0.08,0.15,0.40,n/a,n/a,n/a,n/a,0.02,0.43
util_fd_cstr_to_ulong_seq,n/a,n/a,n/a,15,77,1,n/a,1,26,0.01,0.01,0.22,11.76,0.02,n/a,n/a,n/a,n/a,0.01,0.03
util_fd_bits_svw,n/a,n/a,n/a,124,534,9,3,9,3,0.06,0.03,0.13,0.49,0.10,n/a,n/a,n/a,n/a,0.01,0.11
util_fd_pod_init_delete,n/a,n/a,n/a,59,292,n/a,12,n/a,12,0.01,0.01,0.18,0.45,0.05,n/a,n/a,n/a,n/a,0.03,0.06
util_fd_pod_iter,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
util_fd_pod_accessors,n/a,n/a,n/a,59,292,n/a,12,n/a,12,0.01,0.01,0.16,0.35,0.04,n/a,n/a,n/a,n/a,0.03,0.06
util_fd_pod_resize,n/a,n/a,n/a,63,313,n/a,12,n/a,12,0.01,0.01,0.08,0.24,0.05,n/a,n/a,n/a,n/a,0.02,0.06
util_fd_pod_query,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ballet_txn_parse,n/a,n/a,n/a,799,4159,42,80,110,16,50.24,1.93,2.41,9.80,52.58,n/a,n/a,n/a,n/a,0.31,52.66
ballet_txn_parse_minsz,n/a,n/a,n/a,790,3777,n/a,119,118,5,0.05,0.02,1.53,5.57,0.61,n/a,n/a,n/a,n/a,0.45,0.65
ballet_chacha20_block,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ballet_chacha20rng_init_delete,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
